Nematoda,Relative,Sample ,Grouping,Type,DNAcon,Sequence
Axonolaimus,20.1288509,Sen1,Sensitive,Sensitive_Dominance,6,Shotgun
Desmolaimus,14.15005494,Sen1,Sensitive,Sensitive_Dominance,6,Shotgun
Sabatieria,1.505324898,Sen2,Tolerant ,Sensitive_Dominance,1,Shotgun
Halomonhystera,13.6188046,Sen2,Tolerant ,Sensitive_Dominance,0.6,Shotgun
Leptolaimus,0.397816879,Sen2,Tolerant ,Sensitive_Dominance,3,Shotgun
Paracanthonchus,9.402300072,Sen2,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Microlaimus,0.952456896,Sen2,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Daptonema,12.72216611,Sen2,Less sensitive,Sensitive_Dominance,2,Shotgun
Axonolaimus,15.26500452,Sen2,Sensitive,Sensitive_Dominance,6,Shotgun
Desmolaimus,13.03049634,Sen2,Sensitive,Sensitive_Dominance,6,Shotgun
Sabatieria,1.346465899,Sen3,Tolerant ,Sensitive_Dominance,1,Shotgun
Halomonhystera,10.56889228,Sen3,Tolerant ,Sensitive_Dominance,0.6,Shotgun
Leptolaimus,0.411635565,Sen3,Tolerant ,Sensitive_Dominance,3,Shotgun
Paracanthonchus,10.07433303,Sen3,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Microlaimus,1.721710495,Sen3,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Daptonema,11.44406529,Sen3,Less sensitive,Sensitive_Dominance,2,Shotgun
Axonolaimus,13.00649072,Sen3,Sensitive,Sensitive_Dominance,6,Shotgun
Desmolaimus,10.33742185,Sen3,Sensitive,Sensitive_Dominance,6,Shotgun
Sabatieria,27.27272727,Tol,Tolerant ,Tolerant_Dominance,6,Shotgun
Halomonhystera,36.36363636,Tol,Tolerant ,Tolerant_Dominance,8,Shotgun
Leptolaimus,9.090909091,Tol,Tolerant ,Tolerant_Dominance,2,Shotgun
Paracanthonchus,6.818181818,Tol,Less sensitive,Tolerant_Dominance,1.5,Shotgun
Microlaimus,4.545454545,Tol,Less sensitive,Tolerant_Dominance,1,Shotgun
Daptonema,9.090909091,Tol,Less sensitive,Tolerant_Dominance,2,Shotgun
Axonolaimus,3.409090909,Tol,Sensitive,Tolerant_Dominance,0.75,Shotgun
Desmolaimus,3.409090909,Tol,Sensitive,Tolerant_Dominance,0.75,Shotgun
Sabatieria,9.090909091,Les,Tolerant ,Less Sensitive_Dominance,2,Shotgun
Halomonhystera,7.727272727,Les,Tolerant ,Less Sensitive_Dominance,1.7,Shotgun
Leptolaimus,5,Les,Tolerant ,Less Sensitive_Dominance,1.1,Shotgun
Paracanthonchus,18.18181818,Les,Less sensitive,Less Sensitive_Dominance,4,Shotgun
Microlaimus,22.72727273,Les,Less sensitive,Less Sensitive_Dominance,5,Shotgun
Daptonema,31.81818182,Les,Less sensitive,Less Sensitive_Dominance,7,Shotgun
Axonolaimus,2.272727273,Les,Sensitive,Less Sensitive_Dominance,0.5,Shotgun
Desmolaimus,3.181818182,Les,Sensitive,Less Sensitive_Dominance,0.7,Shotgun
Sabatieria,4.545454545,Sen,Tolerant ,Sensitive_Dominance,1,Shotgun
Halomonhystera,2.727272727,Sen,Tolerant ,Sensitive_Dominance,0.6,Shotgun
Leptolaimus,13.63636364,Sen,Tolerant ,Sensitive_Dominance,3,Shotgun
Paracanthonchus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Microlaimus,7.727272727,Sen,Less sensitive,Sensitive_Dominance,1.7,Shotgun
Daptonema,9.090909091,Sen,Less sensitive,Sensitive_Dominance,2,Shotgun
Axonolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,Shotgun
Desmolaimus,27.27272727,Sen,Sensitive,Sensitive_Dominance,6,Shotgun
