,Comm_A1,Comm_A2,Comm_A3,Comm_B1,Comm_B2,Comm_B3,Comm_C1,Comm_C2,Comm_C3,Comm_D1,Comm_D2,Comm_D3,Grouping
18S_84,0.025715733,0,0,0,0,0,0,0.308232484,0,0,0,0,Less sensitive
18S_99,0.02700152,0,0,0,0,0,0,0.245204553,0,0,0,0,Less sensitive
18S_109,0,0,0,0,0,0,0,0.16865008,0,0,0,0,Less sensitive
18S_114,0,0,0,0,0,0,0.310370129,0,0,0,0,0,Less sensitive
18S_115,0,0,0,0,0,0,0.184809521,0.050076986,0,0,0,0,Less sensitive
18S_120,0,0,0,0,0,0,0,0,0.128990648,0,0,0,Less sensitive
18S_124,0.022115531,0,0,0,0,0.024213243,0.082006772,0,0.025727643,0,0,0.041125756,Less sensitive
18S_132,0.034201925,0,0,0.019886376,0,0,0,0,0,0.031147305,0,0,Less sensitive
18S_136,0,0,0,0,0,0,0.065919319,0.057559754,0.031366578,0,0,0,Less sensitive
18S_137,0,0,0,0,0,0,0,0,0,0.060914666,0,0,Less sensitive
18S_146,0,0,0,0,0,0,0,0.069071705,0,0,0,0,Less sensitive
18S_153,0,0,0.036107395,0,0,0,0,0.060437742,0,0,0,0.034684372,Less sensitive
18S_164,0,0,0,0,0,0,0,0,0.083526731,0,0,0,Less sensitive
18S_167,0,0,0,0,0,0.040124802,0.136939539,0,0,0,0,0,Less sensitive
18S_168,0,0,0,0,0,0,0,0,0.039120115,0.016165057,0,0,Less sensitive
18S_201,0,0,0,0,0,0,0.062387927,0.052091578,0,0,0,0,Less sensitive
18S_202,0,0,0,0,0,0,0.132231016,0,0,0,0,0,Less sensitive
18S_214,0,0,0,0,0,0,0.017656961,0,0.013040038,0,0,0,Less sensitive
18S_219,0,0,0,0,0,0,0,0.0233117,0.026608727,0.003942697,0,0,Less sensitive
18S_221,0.069946794,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_224,0,0,0,0,0,0,0,0,0,0.05007225,0,0,Less sensitive
18S_229,0,0,0,0,0,0,0,0.018131323,0.011277871,0,0,0,Less sensitive
18S_231,0,0,0,0,0,0,0,0.014965536,0.015683289,0,0,0,Less sensitive
18S_240,0,0,0,0,0,0,0,0,0.03559578,0,0,0,Less sensitive
18S_258,0,0,0,0,0,0,0.047869982,0,0.012158955,0,0,0,Less sensitive
18S_276,0,0,0,0,0,0,0.023542614,0.021297109,0,0,0,0,Less sensitive
18S_277,0,0,0,0,0,0,0,0,0.021322225,0.008871068,0,0,Less sensitive
18S_284,0,0,0,0,0,0,0,0.024750694,0,0.007491124,0,0,Less sensitive
18S_286,0.004628832,0,0,0,0,0,0,0,0.014802206,0,0,0,Less sensitive
18S_287,0,0,0,0,0,0.007609876,0.032567283,0,0,0,0,0,Less sensitive
18S_290,0,0,0,0,0,0,0,0,0.02643251,0,0,0,Less sensitive
18S_294,0,0,0,0,0,0,0,0,0.025375209,0,0,0,Less sensitive
18S_300,0.010543451,0.018425049,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_306,0,0,0,0,0,0,0,0.037126041,0,0,0,0,Less sensitive
18S_308,0,0,0,0,0,0,0,0,0.011101654,0,0,0,Less sensitive
18S_316,0,0,0,0,0,0,0,0,0.015507072,0,0,0,Less sensitive
18S_318,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_319,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_339,0,0,0,0,0,0,0,0,0.017093023,0,0,0,Less sensitive
18S_346,0,0,0,0,0,0,0,0,0.010396787,0,0,0,Less sensitive
18S_350,0,0,0,0,0,0,0,0,0,0,0,0,Less sensitive
18S_353,0,0,0,0,0,0,0.03413679,0,0,0,0,0,Less sensitive
18S_354,0,0,0,0,0,0,0.03413679,0,0,0,0,0,Less sensitive
18S_361,0,0,0,0,0,0,0,0,0,0.016362192,0,0,Less sensitive
